Commodity,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Ubi [Greater yam],REGION V (BICOL REGION),Camarines Sur,0501700000,0.91,0.59,0.72,0.69,0.51,8.90,0.00
Ubi [Greater yam],REGION V (BICOL REGION),Catanduanes,0502000000,0.74,0.55,0.64,0.40,0.31,1.89,0.00
Ubi [Greater yam],REGION V (BICOL REGION),Masbate,0504100000,3.30,3.30,3.30,1.59,1.69,1.57,0.00
Ubi [Greater yam],REGION V (BICOL REGION),Sorsogon,0506200000,4.59,4.35,4.32,5.05,2.20,1.72,0.00
Ubi [Greater yam],REGION VI (WESTERN VISAYAS),Aklan,0600400000,6.01,6.43,6.23,6.34,6.31,7.78,0.00
Ubi [Greater yam],REGION VI (WESTERN VISAYAS),Antique,0600600000,14.30,12.98,12.80,11.77,11.48,11.91,0.00
Ubi [Greater yam],REGION VI (WESTERN VISAYAS),Capiz,0601900000,4.85,4.72,4.57,4.41,4.59,4.54,0.00
Ubi [Greater yam],REGION VI (WESTERN VISAYAS),Guimaras,0607900000,5.32,5.79,5.95,5.86,7.41,7.68,0.00
Ubi [Greater yam],REGION VI (WESTERN VISAYAS),Iloilo,0603000000,6.90,6.82,6.47,6.40,6.25,6.02,0.00
Ubi [Greater yam],REGION VI (WESTERN VISAYAS),Negros Occidental,1804500000,11.30,11.42,12.20,12.24,0,0,0
Ubi [Greater yam],NEGROS ISLAND REGION (NIR) 2/,Negros Occidental a/,1804500000,0,0,0,0,11.94,11.77,0.00
Ubi [Greater yam],NEGROS ISLAND REGION (NIR) 2/,City of Bacolod,1830200000,0,0,0,0,0,0,0.00
Ubi [Greater yam],NEGROS ISLAND REGION (NIR) 2/,Negros Oriental b/,1804600000,0,0,0,0,5.24,5.97,0.00
Ubi [Greater yam],NEGROS ISLAND REGION (NIR) 2/,Siquijor b/,1806100000,0,0,0,0,4.82,3.97,0.00
Ubi [Greater yam],REGION VII (CENTRAL VISAYAS),Bohol,0701200000,5.66,5.85,5.16,5.67,12.67,13.24,0.00
Ubi [Greater yam],REGION VII (CENTRAL VISAYAS),Cebu,0702200000,6.80,7.08,6.76,6.79,6.65,6.27,0.00
Ubi [Greater yam],REGION VII (CENTRAL VISAYAS),Negros Oriental,1804600000,7.01,7.61,7.85,4.87,0,0,0
Ubi [Greater yam],REGION VII (CENTRAL VISAYAS),Siquijor,1806100000,5.23,5.30,5.13,4.53,0,0,0
Ubi [Greater yam],REGION VIII (EASTERN VISAYAS),Biliran,0807800000,4.13,4.37,4.28,4.16,4.16,2.58,0.00
Ubi [Greater yam],REGION VIII (EASTERN VISAYAS),Eastern Samar,0802600000,1.25,1.20,1.28,0.93,1.01,0.85,0.00
Ubi [Greater yam],REGION VIII (EASTERN VISAYAS),Leyte,0803700000,3.54,3.78,4.01,3.84,3.97,3.87,0.00
Ubi [Greater yam],REGION VIII (EASTERN VISAYAS),Northern Samar,0804800000,4.18,4.17,4.22,4.41,1.43,3.69,0.00
Ubi [Greater yam],REGION VIII (EASTERN VISAYAS),Samar,0806000000,2.72,2.38,2.58,0.77,0.76,0.70,0.00
Ubi [Greater yam],REGION VIII (EASTERN VISAYAS),Southern Leyte,0806400000,1.42,1.46,1.46,0.98,0.65,0.84,0.00
Ubi [Greater yam],REGION IX (ZAMBOANGA PENINSULA),Sulu c/,,0,0,0,0,0,0,0.00
Ubi [Greater yam],REGION IX (ZAMBOANGA PENINSULA),Zamboanga del Norte,0907200000,3.30,3.02,3.08,2.80,2.04,1.99,0.00
Ubi [Greater yam],REGION IX (ZAMBOANGA PENINSULA),Zamboanga del Sur,0907300000,5.55,5.63,5.61,4.73,5.50,2.53,0.00
Ubi [Greater yam],REGION IX (ZAMBOANGA PENINSULA),City of Zamboanga,0907400000,9.04,8.75,9.06,0,0,6.91,0.00
Ubi [Greater yam],REGION IX (ZAMBOANGA PENINSULA),Zamboanga Sibugay,0908300000,2.87,2.59,2.38,2.23,2.06,1.98,0.00
Ubi [Greater yam],REGION X (NORTHERN MINDANAO),Bukidnon,1001300000,7.00,6.84,6.76,6.73,6.19,6.79,0.00
Ubi [Greater yam],REGION X (NORTHERN MINDANAO),Camiguin,1001800000,15.94,16.82,19.46,11.72,13.16,12.55,0.00
Ubi [Greater yam],REGION X (NORTHERN MINDANAO),Lanao del Norte,1003500000,5.58,5.45,5.45,3.79,2.63,2.22,0.00
Ubi [Greater yam],REGION X (NORTHERN MINDANAO),Misamis Occidental,1004200000,10.62,10.49,10.05,6.71,9.34,9.32,0.00
Ubi [Greater yam],REGION X (NORTHERN MINDANAO),Misamis Oriental,1004300000,8.40,7.84,8.63,6.01,5.85,2.90,0.00
Ubi [Greater yam],REGION XI (DAVAO REGION),Davao de Oro,1108200000,6.61,7.00,6.34,4.16,4.13,4.49,0.00
Ubi [Greater yam],REGION XI (DAVAO REGION),Davao del Norte,1102300000,6.68,6.72,6.87,5.43,5.29,5.27,0.00
Ubi [Greater yam],REGION XI (DAVAO REGION),Davao del Sur,1102400000,7.76,7.66,7.48,6.27,6.21,6.01,0.00
Ubi [Greater yam],REGION XI (DAVAO REGION),City of Davao,1130700000,5.86,5.99,6.01,0,0,4.47,0.00
Ubi [Greater yam],REGION XI (DAVAO REGION),Davao Occidental,1108600000,2.87,2.78,2.84,2.92,2.88,2.80,0.00
Ubi [Greater yam],REGION XI (DAVAO REGION),Davao Oriental,1102500000,0.00,0.00,0.00,0.00,0.00,36.00,0.00
Ubi [Greater yam],REGION XII (SOCCSKSARGEN),Cotabato,1204700000,4.23,3.38,2.69,1.28,0.77,0.52,0.00
Ubi [Greater yam],REGION XII (SOCCSKSARGEN),Sarangani,1208000000,2.17,2.16,2.19,1.58,1.48,1.48,0.00
Ubi [Greater yam],REGION XII (SOCCSKSARGEN),Sultan Kudarat,1206500000,4.80,4.88,4.80,3.38,3.51,4.62,0.00
Ubi [Greater yam],REGION XII (SOCCSKSARGEN),South Cotabato,1206300000,5.24,5.47,5.65,6.08,4.74,27.50,0.00
Ubi [Greater yam],REGION XIII (CARAGA),City of Butuan,1630400000,0,0,0,0,0,0,0.00
Ubi [Greater yam],REGION XIII (CARAGA),Agusan del Sur,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ubi [Greater yam],REGION XIII (CARAGA),Dinagat Islands,1608500000,1.32,2.27,1.03,0.26,0.91,0.02,0.00
Ubi [Greater yam],REGION XIII (CARAGA),Surigao del Norte,1606700000,3.91,1.73,1.03,0.64,0.03,3.03,0.00
Ubi [Greater yam],REGION XIII (CARAGA),Surigao del Sur,1606800000,13.22,18.14,19.90,5.29,4.65,0.54,0.00
Ubi [Greater yam],BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Basilan,1900700000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ubi [Greater yam],BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Lanao del Sur,1903600000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ubi [Greater yam],BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Maguindanao,1908800000,6.23,6.29,6.37,5.06,0.65,0,0.00
Ubi [Greater yam],BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Maguindanao del Norte,,0,0,0,0,0,0.82,0.00
Ubi [Greater yam],BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Maguindanao del Sur,1908800000,0,0,0,0,0,1.46,0.00
Ubi [Greater yam],BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Sulu,1906600000,0.00,0.00,0.00,0.00,0.00,0.00,0
Ubi [Greater yam],BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Tawi-tawi,1907000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
