Commodity Type,ADM2_PCODE,Province,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
White Corn Production,0405600000,Quezon,1217.0,1949.0,2979.0,3179.0,1981.0,1082.0,1945.0,2913.0,1606.0,1198.0,1547.0,2281.0,1449.95,136.25,1313.52,692.73,1515.25,1694.0,1105.36,2171.55,1733.0,1163.2
White Corn Production,0405800000,Rizal,39.0,147.2,146.36,83.6,87.57,157.21,157.0,127.0,144.0,91.39,88.02,51.14,61.41,85.25,53.04,51.48,60.13,130.2,68.2,21.5,117.65,227.29
White Corn Production,0500500000,Albay,734.0,1208.0,3013.0,1012.0,1036.2,1367.4,2550.0,654.0,1045.2,1155.0,2505.0,731.5,847.5,828.0,2940.0,1000.0,1434.0,1882.0,2146.5,666.0,586.0,840.0
White Corn Production,0501600000,Camarines Norte,450.5,649.64,370.5,139.16,430.0,488.0,397.8,216.06,425.7,467.84,396.86,355.5,424.11,393.27,390.08,130.5,0.0,440.07,379.09,225.32,0.0,395.15
White Corn Production,0501700000,Camarines Sur,7179.0,4984.0,3917.0,5290.0,6783.0,3957.0,3654.0,5278.0,6436.0,3461.0,3890.0,5028.0,6331.0,3463.0,3651.0,4267.0,6376.0,3330.0,3915.0,4397.0,6524.0,3390.0
White Corn Production,0502000000,Catanduanes,67.0,124.85,147.56,54.12,14.61,82.26,53.96,17.58,2.82,6.72,4.08,6.09,1.87,1.02,2.24,3.17,1.84,8.07,3.52,4.2,2.12,10.67
White Corn Production,0504100000,Masbate,12876.0,4478.0,19059.0,6504.0,12739.0,3828.52,17107.0,6377.21,12588.59,3645.0,17204.0,6286.0,12501.0,4547.0,9974.0,8286.0,18572.16,3748.0,5879.0,2128.0,2196.0,3235.0
White Corn Production,0506200000,Sorsogon,64.85,46.6,99.0,110.0,67.88,50.9,95.0,88.4,57.44,44.04,88.4,85.24,54.68,41.18,91.71,71.8,40.0,47.9,64.95,51.81,31.82,50.79
White Corn Production,0600400000,Aklan,136.0,221.0,445.6,326.83,94.4,157.68,369.59,315.18,54.43,251.26,435.9,178.44,102.0,65.0,50.56,26.29,80.8,120.5,58.29,19.61,21.04,96.79
White Corn Production,0600600000,Antique,349.21,216.15,465.81,54.88,267.0,287.0,664.0,58.83,300.04,330.34,613.36,102.36,405.25,243.93,63.05,174.35,573.69,225.2,265.11,50.12,703.14,104.28
White Corn Production,0601900000,Capiz,284.0,203.0,461.4,293.6,358.65,101.0,530.4,316.92,223.7,206.63,645.0,350.22,352.75,135.84,707.8,523.36,465.44,244.34,884.77,609.0,481.35,275.25
White Corn Production,0603000000,Iloilo,1990.0,1868.87,3569.1,655.0,975.18,1596.51,2979.98,513.86,1118.88,1808.93,3178.19,880.23,738.43,601.73,1356.36,753.16,865.0,873.31,1800.9,759.61,1181.32,576.31
White Corn Production,0607900000,Guimaras,67.0,23.0,744.0,169.0,84.0,25.36,563.0,171.0,94.0,33.0,324.0,128.0,80.0,24.0,110.0,131.0,79.05,28.0,230.0,94.3,58.0,28.0
White Corn Production,0701200000,Bohol,1160.0,476.0,5830.0,832.0,87.0,254.0,3191.0,1110.1,257.0,550.1,5763.0,925.25,567.0,446.0,4191.0,1261.75,819.64,591.71,4662.0,1196.7,539.63,413.28
White Corn Production,0702200000,Cebu,7931.0,2029.0,26080.0,8327.0,5689.0,1984.0,28685.0,11725.0,6088.0,1815.0,37879.0,10178.0,6239.0,472.0,22495.0,9604.0,7032.0,1824.0,35094.0,11194.0,9158.85,1468.0
White Corn Production,0802600000,Eastern Samar,47.0,79.55,44.0,41.0,46.5,74.67,37.27,45.44,35.0,60.0,28.0,40.8,47.0,60.0,24.6,54.0,45.0,57.6,18.25,8.02,30.0,37.2
White Corn Production,0803700000,Leyte,4816.24,10874.76,11006.0,10425.45,5721.8,10540.8,8437.8,8501.17,5745.63,9461.9,8690.7,8667.15,5785.1,6005.1,8499.2,8704.34,5941.0,6066.0,8664.0,8282.25,5674.0,6170.0
White Corn Production,0804800000,Northern Samar,1475.0,2641.0,3715.0,2409.8,1392.0,2631.0,3748.0,2410.0,1366.0,2527.0,3767.0,2404.0,1300.0,2640.0,3807.0,2457.0,1270.0,2690.0,3838.0,2419.0,1109.0,2688.0
White Corn Production,0806000000,Samar (Western Samar),249.35,2967.0,1870.0,1943.0,294.55,2965.0,1914.0,1799.07,325.0,4086.0,2818.0,1854.3,1874.0,5559.83,3002.25,1863.91,1941.72,6965.03,2962.95,1193.5,1196.65,6712.05
White Corn Production,0806400000,Southern Leyte,196.0,132.02,315.0,1297.0,121.0,101.41,303.0,1255.0,87.0,95.0,184.0,770.0,93.0,47.0,34.0,438.0,92.0,41.0,39.0,359.0,90.0,48.0
White Corn Production,0807800000,Biliran,76.0,123.0,69.0,152.0,85.36,128.0,61.51,160.67,81.5,129.8,53.0,158.0,82.0,135.0,54.89,164.0,79.0,137.0,54.0,155.0,74.0,118.0
White Corn Production,0906600000,Sulu,210.0,230.0,549.0,667.0,574.0,473.55,228.0,231.0,380.0,253.0,255.0,209.0,30.0,220.0,220.0,210.0,119.0,200.0,172.0,180.0,130.0,223.0
White Corn Production,0907200000,Zamboanga del Norte,6149.71,1714.0,30959.65,15576.36,9730.45,3556.49,19172.52,12068.95,12360.6,2240.48,13788.87,10809.68,8168.5,1437.84,20101.31,15292.47,14132.2,2658.77,19328.59,11908.25,12432.2,2852.93
White Corn Production,0907300000,Zamboanga del Sur,21076.75,8583.74,41853.06,17270.62,24830.92,10241.3,37041.86,14310.13,24400.7,10459.24,40153.58,14845.91,25972.18,8576.8,38405.68,17478.0,24978.58,8978.1,39361.33,15090.69,33315.73,11260.92
White Corn Production,0907400000,Zamboanga City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954.32,2240.0,3325.17,4533.34,1501.62
White Corn Production,0908300000,Zamboanga Sibugay,6032.01,2683.45,9023.48,4164.48,4810.76,2727.02,8948.45,5824.23,4926.5,2644.85,6326.33,4614.7,3969.74,1987.07,7258.63,3811.2,4200.24,1302.81,6355.87,3638.53,4593.81,1916.29
White Corn Production,1001300000,Bukidnon,33152.92,3715.32,71120.0,32108.0,34007.0,4674.92,72804.41,30299.0,21472.0,6044.67,32486.45,31033.75,22399.0,5936.96,35899.0,29798.0,24905.0,11129.15,46086.25,31707.39,23781.79,7878.74
White Corn Production,1001800000,Camiguin,109.85,138.0,166.2,83.65,64.0,88.6,163.88,86.02,41.44,75.2,120.81,75.3,32.23,18.5,46.98,28.35,25.22,20.14,43.36,75.73,12.25,69.0
White Corn Production,1003500000,Lanao del Norte,41301.47,34957.0,125027.0,71339.83,33847.5,34690.0,121588.6,80803.5,37987.75,31201.0,113262.0,89952.45,37822.04,30131.83,106178.34,86862.05,38598.0,34018.77,115071.95,80587.3,30927.73,38313.79
White Corn Production,1004200000,Misamis Occidental,9599.5,782.0,21114.0,16846.0,7625.0,722.0,17476.0,14242.0,7391.2,700.0,16356.0,13255.0,5646.0,330.0,12856.0,10743.0,4593.5,265.26,7757.0,7016.0,2895.0,276.5
White Corn Production,1004300000,Misamis Oriental,11655.0,2438.0,25859.0,15523.0,11631.0,5024.27,27379.0,17725.0,14768.0,2555.92,29275.7,14111.0,16518.0,1085.0,29529.6,16295.8,7841.64,2775.66,30068.67,18158.62,35407.03,3537.88
White Corn Production,1102300000,Davao del Norte,2476.0,5435.2,5102.6,10125.58,4877.42,4788.0,4961.05,10054.56,4483.75,5571.9,5101.18,10093.0,4420.82,6695.1,6769.68,11453.69,5446.86,6908.92,7618.38,10342.99,4970.37,6674.3
White Corn Production,1102400000,Davao del Sur,13071.0,11789.38,13398.0,11211.0,16335.58,12211.0,14105.65,9104.72,16878.0,11793.84,15705.21,14014.0,15173.0,7650.75,12300.4,12416.0,20323.6,5500.66,6684.82,8876.31,15020.62,5109.34
White Corn Production,1102500000,Davao Oriental,10930.06,9921.05,14385.16,19704.05,9778.01,9723.04,15499.4,20739.0,10278.58,11518.0,15173.6,22908.44,10151.25,11463.9,16548.3,24493.69,10038.66,11031.59,16203.95,23941.44,10302.77,10032.08
White Corn Production,1108200000,Davao de Oro (Compostela Valley),6340.0,9171.0,10956.0,11090.0,7406.0,9263.0,9942.0,10452.0,6845.0,9496.0,10633.4,10686.0,7819.95,10974.0,7670.0,13246.46,6456.12,10277.0,8866.0,10505.0,5286.87,10054.0
White Corn Production,1108600000,Davao Occidental,8235.2,4547.0,7788.0,15030.52,7766.93,6270.54,7627.44,13060.12,8739.6,6489.69,8494.14,13826.84,9992.29,7046.62,9557.0,15176.0,11390.09,7281.44,11106.0,14127.17,11362.48,7451.99
White Corn Production,1130700000,Davao City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3011.41,4587.4,3260.88,3708.32,3635.04
White Corn Production,1204700000,Cotabato (North Cotabato),13140.0,3989.0,24169.0,10876.0,12666.0,5288.0,18429.0,6879.0,12730.0,3553.0,15935.0,6688.0,12064.0,1228.0,14067.0,11143.0,12762.0,3122.0,12083.0,5812.0,8441.0,3545.0
White Corn Production,1206300000,South Cotabato,17016.0,6839.0,13323.0,8740.0,8989.0,5788.0,8514.0,6507.9,12053.0,6080.0,9937.3,8503.0,10097.0,4196.0,9550.0,10679.0,10418.0,5787.0,9393.0,10793.1,10676.0,5523.0
White Corn Production,1206500000,Sultan Kudarat,13032.99,4600.0,9568.0,14786.0,16601.0,3511.0,9309.45,16880.0,15059.0,4052.0,10775.0,16295.0,11051.0,1530.0,10226.0,15767.0,14925.0,2360.0,10430.0,16015.0,13901.0,2047.0
White Corn Production,1208000000,Sarangani,12839.0,4856.0,36254.99,29941.05,13303.7,5326.0,34189.99,26339.0,12669.0,5131.99,32910.04,25833.43,6875.0,2743.98,33924.98,33409.98,15187.99,3642.98,30643.99,30716.99,11577.0,2134.2
White Corn Production,1400100000,Abra,2141.0,0.0,15392.0,0.0,2226.0,0.0,13596.0,0.0,2354.0,0.0,12286.0,0.0,2232.0,0.0,12885.0,0.0,2806.0,0.0,12633.0,0.0,3146.48,0.0
White Corn Production,1401100000,Benguet,10.75,14.4,10.0,6.18,11.0,14.4,9.05,5.75,9.0,12.0,7.2,5.0,6.0,9.95,1.0,5.0,5.0,17.0,70.7,87.0,119.0,88.0
White Corn Production,1402700000,Ifugao,0.0,0.0,21.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.83,17.0,0.0
White Corn Production,1403200000,Kalinga,85.53,290.0,0.0,294.0,83.0,290.0,0.0,158.0,86.0,382.0,28.0,106.0,74.0,235.0,60.0,313.0,69.0,423.0,146.0,306.0,106.65,154.24
White Corn Production,1404400000,Mountain Province,0.0,0.0,23.75,0.0,0.0,0.0,24.14,0.0,0.0,0.0,22.61,0.0,0.0,0.0,23.18,0.0,0.0,0.0,27.23,0.0,0.0,0.0
White Corn Production,1408100000,Apayao,18.0,12.0,30.76,24.36,14.49,0.0,30.89,0.0,0.0,5.58,0.0,0.0,5.46,22.3,0.0,28.4,4.76,0.0,0.0,1.16,0.0,0.0
White Corn Production,1600200000,Agusan del Norte,2839.0,1122.02,2888.0,3007.36,2522.0,1018.0,2542.0,2779.0,2246.0,878.0,2602.0,2810.98,2277.0,977.0,2627.2,2824.0,2296.0,1015.0,2664.0,2847.0,1671.0,631.0
White Corn Production,1600300000,Agusan del Sur,806.5,5186.0,11816.0,21796.0,1914.0,2932.0,5195.0,12831.0,1640.0,5133.88,12674.0,12412.0,1600.0,6357.0,12806.0,14321.0,1601.0,5831.57,12271.0,14810.0,1575.0,5913.0
White Corn Production,1606700000,Surigao del Norte,84.19,203.1,514.8,418.0,66.99,228.65,421.0,476.6,92.3,267.0,469.0,542.41,120.0,267.0,491.0,551.0,135.0,285.0,511.0,520.0,133.0,289.0
White Corn Production,1606800000,Surigao del Sur,112.62,200.45,4238.87,1486.28,163.23,206.25,4163.0,1762.0,119.0,172.0,4235.0,1666.0,88.0,226.0,5022.0,2608.0,339.0,227.0,4310.0,2428.0,339.0,172.0
White Corn Production,1608500000,Dinagat Islands,50.0,108.0,81.0,34.0,15.3,54.0,90.0,20.15,18.0,53.0,67.35,19.0,37.0,72.0,90.0,19.0,27.0,81.6,76.0,24.29,20.1,61.1
White Corn Production,1630400000,Butuan City,,,,,,,,,,,,,,,,,,,,,656.52,373.0
White Corn Production,1704000000,Marinduque,72.0,128.0,316.0,231.0,116.0,216.64,354.0,228.0,245.0,251.0,145.0,188.0,239.0,192.0,131.0,234.0,260.0,125.0,168.01,210.0,185.81,42.39
White Corn Production,1705100000,Occidental Mindoro,463.0,2342.0,2077.0,321.0,565.0,2357.0,974.0,337.5,632.0,885.29,359.34,1054.08,506.16,122.68,308.56,516.13,454.01,249.83,337.25,394.52,570.1,341.17
White Corn Production,1705200000,Oriental Mindoro,60.68,83.0,85.75,89.0,49.8,130.0,81.12,94.77,86.14,96.8,45.5,83.68,87.8,41.11,41.99,61.86,77.67,76.0,29.7,45.0,68.8,438.89
White Corn Production,1705300000,Palawan,1054.0,629.0,1671.0,1471.0,949.0,604.63,1580.32,1501.59,1012.71,621.98,1471.21,1437.88,1047.21,578.86,1401.09,1527.03,1070.38,550.5,1335.1,1544.0,1370.2,543.3
White Corn Production,1705900000,Romblon,97.0,212.0,550.0,137.0,376.0,347.0,366.0,247.0,294.0,90.0,324.0,279.0,325.7,96.0,337.0,182.0,399.0,250.0,317.0,166.0,286.0,50.0
White Corn Production,1731500000,Puerto Princesa City,,,,,,,,,,,,,,,,,,,,,10.8,363.47
White Corn Production,1804500000,Negros Occidental,17700.0,8528.0,34222.0,15168.0,16220.0,8270.0,31922.0,15558.0,17209.0,8628.0,23638.0,15951.0,15155.5,5148.0,7369.5,13822.0,9219.0,5736.0,8036.0,10268.0,6005.0,3752.0
White Corn Production,1804600000,Negros Oriental,7257.0,2042.0,22836.0,11632.0,5203.0,2268.0,18637.0,10773.25,6946.96,2023.6,24930.0,13705.8,6596.7,1601.65,19093.0,12954.36,9293.7,2097.75,19657.0,13907.0,8280.0,1954.0
White Corn Production,1806100000,Siquijor,722.0,160.0,3391.0,504.0,583.0,84.81,1405.2,694.1,129.72,32.7,1596.5,528.94,160.76,6.6,476.48,50.2,112.86,8.56,593.04,139.75,353.92,24.72
White Corn Production,1830200000,Bacolod City,,,,,,,,,,,,,,,,,,,,,10.16,2.9
White Corn Production,1900700000,Basilan,101.0,31.0,56.0,72.0,131.0,61.43,114.0,270.0,200.0,100.0,120.0,250.0,190.0,10.0,160.0,260.0,150.0,60.0,160.0,130.0,120.0,50.0
White Corn Production,1903600000,Lanao del Sur,54639.5,44900.8,146525.72,63408.0,53463.78,45109.0,146522.59,63266.0,53639.27,45534.92,147224.7,63391.25,53746.98,45747.7,147925.77,66180.47,54551.38,45734.8,148696.95,66434.0,54730.04,45732.65
White Corn Production,1907000000,Tawi-Tawi,258.0,256.0,240.0,213.0,258.0,256.0,240.0,212.0,258.0,263.0,237.0,209.0,258.0,260.0,210.0,200.0,0.0,208.0,220.0,216.0,258.3,127.0
White Corn Production,1908700000,Maguindanao del Norte,,,,,,,,,,,,,31300.0,9285.0,9892.28,25033.0,32352.0,9482.0,10086.0,25749.0,33238.0,9268.0
White Corn Production,1908800000,Maguindanao del Sur,72173.36,54858.58,82433.06,78584.19,78602.93,62074.12,83455.0,74520.0,73405.0,22319.75,23145.0,84254.0,43982.0,10459.0,13434.53,25205.95,45416.0,10697.0,13739.0,25934.0,46355.0,10235.0
