Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2
Overall Cauliflower Production,1102300000,Davao del Norte,,,,,,,,,,
Overall Cauliflower Production,1102400000,Davao del Sur,17.56,19.08,17.46,19.09,43.79,49.08,42.59,44.62,31.3,15.75
Overall Cauliflower Production,1102500000,Davao Oriental,,,,,,,,,,
Overall Cauliflower Production,1108200000,Davao de Oro (Compostela Valley),0.98,2.42,0.94,2.34,0.9,2.27,0.82,1.93,0.79,1.88
Overall Cauliflower Production,1108600000,Davao Occidental,,,,,,,,,,
Overall Cauliflower Production,1130700000,Davao City,25.61,18.15,25.65,17.03,,,,,8.88,20.92
Overall Cauliflower Production,1204700000,Cotabato (North Cotabato),26.36,37.7,23.65,26.37,21.91,16.19,8.2,13.32,7.01,8.65
Overall Cauliflower Production,1206300000,South Cotabato,13.6,37.88,15.75,40.5,8.33,43.13,5.59,46.55,,54.97
Overall Cauliflower Production,1206500000,Sultan Kudarat,,,,,,,,,,
Overall Cauliflower Production,1208000000,Sarangani,0.06,0.4,0.05,0.3,0.04,0.2,0.02,0.13,,
Overall Cauliflower Production,1400100000,Abra,,,,,,,0.22,,0.29,
Overall Cauliflower Production,1401100000,Benguet,3239.78,1193.85,2310.37,1102.54,2102.44,1356.1,1331.19,5417.09,2874.75,5180.76
Overall Cauliflower Production,1402700000,Ifugao,,,,,,,,,,
Overall Cauliflower Production,1403200000,Kalinga,,,,,,,,,,
Overall Cauliflower Production,1404400000,Mountain Province,,3.07,,2.92,,1.5,,1.43,,1.29
Overall Cauliflower Production,1408100000,Apayao,,,,,,,,,,
Overall Cauliflower Production,1600200000,Agusan del Norte,,,,,,,,,,
Overall Cauliflower Production,1600300000,Agusan del Sur,,,,,,,,,,
Overall Cauliflower Production,1606700000,Surigao del Norte,,,,,,,,,,
Overall Cauliflower Production,1606800000,Surigao del Sur,,,,,,,,,,
Overall Cauliflower Production,1608500000,Dinagat Islands,,,,,,,,,,
Overall Cauliflower Production,1630400000,Butuan City,,,,,,,,,,
Overall Cauliflower Production,1704000000,Marinduque,,1.23,,,,,,,,
Overall Cauliflower Production,1705100000,Occidental Mindoro,,,,,,,,,,
Overall Cauliflower Production,1705200000,Oriental Mindoro,,,,,,,,,,
Overall Cauliflower Production,1705300000,Palawan,,,,,,,,,,
Overall Cauliflower Production,1705900000,Romblon,,,,,,,,,,
Overall Cauliflower Production,1731500000,Puerto Princesa City,,,,,,,,,,
Overall Cauliflower Production,1804500000,Negros Occidental,,,,,,,,,,
Overall Cauliflower Production,1804600000,Negros Oriental,11.1,4.04,8.12,3.34,10.61,4.02,10.9,3.99,8.85,3.78
Overall Cauliflower Production,1806100000,Siquijor,,,,,,,,,,
Overall Cauliflower Production,1830200000,Bacolod City,,,,,,,,,,
Overall Cauliflower Production,1900700000,Basilan,,,,,,,,,,
Overall Cauliflower Production,1903600000,Lanao del Sur,,,,,,,,,,
Overall Cauliflower Production,1907000000,Tawi-Tawi,,,,,,,,,,
Overall Cauliflower Production,1908700000,Maguindanao del Norte,,,,,,,,,,
Overall Cauliflower Production,1908800000,Maguindanao del Sur,,,,,,,,,,
