Commodity Type,Region,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Irrigated Palay,Region VI (Western Visayas),0600600000,Antique,180991.0,182680.97,160721.77,124679.56,142285.98,55217.06
Irrigated Palay,Region VI (Western Visayas),0601900000,Capiz,117104.16,103998.66,91750.82,91063.58,94921.38,32832.15
Irrigated Palay,Region VI (Western Visayas),0603000000,Iloilo,416881.0,414843.0,455544.22,335509.66,393700.64,112074.18
Irrigated Palay,Region VI (Western Visayas),0607900000,Guimaras,15734.0,16609.0,16657.0,15234.0,15870.0,3325.0
Irrigated Palay,Region VII (Central Visayas),0701200000,Bohol,132849.0,110438.85,136425.87,146271.44,163832.27,49419.3
Irrigated Palay,Region VII (Central Visayas),0702200000,Cebu,11222.0,10632.76,10684.0,8809.32,11146.7,2489.0
Irrigated Palay,Region VIII (Eastern Visayas),0802600000,Eastern Samar,15806.08,11907.69,12967.29,12173.38,10757.35,2289.5
Irrigated Palay,Region VIII (Eastern Visayas),0803700000,Leyte,341691.59,338280.93,346865.42,350335.55,345921.15,94947.0
Irrigated Palay,Region VIII (Eastern Visayas),0804800000,Northern Samar,8348.0,7979.81,7845.76,7576.0,7588.0,3870.0
Irrigated Palay,Region VIII (Eastern Visayas),0806000000,Samar (Western Samar),20305.76,20213.05,20249.53,19863.76,21806.9,3037.52
Irrigated Palay,Region VIII (Eastern Visayas),0806400000,Southern Leyte,73845.0,58026.65,57623.7,55604.0,47896.4,7607.0
Irrigated Palay,Region VIII (Eastern Visayas),0807800000,Biliran,53222.5,52579.26,51706.0,51426.0,47562.0,4160.0
Irrigated Palay,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)8,0906600000,Sulu,78.0,0.0,0.0,0.0,0.0,0.0
Irrigated Palay,Region IX (Zamboanga Peninsula),0907200000,Zamboanga del Norte,67747.04,62406.3,58944.39,59779.68,67063.44,24632.7
Irrigated Palay,Region IX (Zamboanga Peninsula),0907300000,Zamboanga del Sur,275949.29,269566.37,307773.75,305413.91,309682.79,95580.67
Irrigated Palay,REGION IX (ZAMBOANGA PENINSULA),0907400000,Zamboanga City,0.0,0.0,0.0,0.0,16336.88,6756.15
Irrigated Palay,Region IX (Zamboanga Peninsula),0908300000,Zamboanga Sibugay,85979.65,87154.92,92722.88,81613.6,93808.51,34161.93
Irrigated Palay,Region X (Northern Mindanao),1001300000,Bukidnon,440963.53,448171.2,450130.58,441062.33,448882.78,122771.0
Irrigated Palay,Region X (Northern Mindanao),1001800000,Camiguin,2085.6,2168.09,2423.54,2058.87,2186.14,158.0
Irrigated Palay,Region X (Northern Mindanao),1003500000,Lanao del Norte,165534.8,171424.3,173776.65,165847.89,182900.12,21998.36
Irrigated Palay,Region X (Northern Mindanao),1004200000,Misamis Occidental,80715.0,78170.61,75959.0,74497.0,78099.0,14495.2
Irrigated Palay,Region X (Northern Mindanao),1004300000,Misamis Oriental,19896.34,20980.84,22295.3,20975.11,18572.49,3986.87
Irrigated Palay,Region XI (Davao Region),1102300000,Davao del Norte,123466.72,126989.72,131075.46,128795.41,136323.71,34058.2
Irrigated Palay,Region XI (Davao Region),1102400000,Davao del Sur,134591.41,138972.65,141493.5,150012.05,144391.23,57296.8
Irrigated Palay,Region XI (Davao Region),1102500000,Davao Oriental,61263.11,61153.64,61090.03,61375.96,61140.91,11717.61
Irrigated Palay,Region XI (Davao Region),1108200000,Davao de Oro (Compostela Valley),117055.0,113967.0,120524.0,116108.0,118753.0,24834.0
Irrigated Palay,Region XI (Davao Region),1108600000,Davao Occidental,1822.13,1862.88,1891.06,2037.55,1991.44,567.87
Irrigated Palay,,1130700000,Davao City,0.0,0.0,0.0,0.0,9870.9,2879.71
Irrigated Palay,Region XII (SOCCSKSARGEN),1204700000,Cotabato (North Cotabato),403385.0,417282.0,398842.0,386514.0,383604.0,137755.0
Irrigated Palay,Region XII (SOCCSKSARGEN),1206300000,South Cotabato,266624.0,255029.0,262509.0,254589.0,255047.14,91009.0
Irrigated Palay,Region XII (SOCCSKSARGEN),1206500000,Sultan Kudarat,363140.24,337616.0,353105.2,334063.0,327733.0,117087.0
Irrigated Palay,Region XII (SOCCSKSARGEN),1208000000,Sarangani,34471.85,33344.44,33792.97,30927.14,33945.37,6896.0
Irrigated Palay,Cordillera Administrative Region (CAR),1400100000,Abra,60099.0,55337.0,53681.95,48837.6,51901.3,8198.58
Irrigated Palay,Cordillera Administrative Region (CAR),1401100000,Benguet,20861.0,20745.77,19123.15,16249.6,16997.25,4834.36
Irrigated Palay,Cordillera Administrative Region (CAR),1402700000,Ifugao,39979.02,30448.06,31763.58,26634.55,29702.82,7443.44
Irrigated Palay,Cordillera Administrative Region (CAR),1403200000,Kalinga,118287.64,110426.26,109292.01,97681.84,133721.1,4788.08
Irrigated Palay,Cordillera Administrative Region (CAR),1404400000,Mountain Province,13875.32,13746.96,10813.92,10758.55,11092.0,314.95
Irrigated Palay,Cordillera Administrative Region (CAR),1408100000,Apayao,64076.28,57858.11,61745.47,52014.42,41739.54,2405.66
Irrigated Palay,Region XIII (Caraga),1600200000,Agusan del Norte,56894.0,64808.16,69718.1,70421.55,71458.0,8194.0
Irrigated Palay,Region XIII (Caraga),1600300000,Agusan del Sur,136558.65,143687.3,162493.78,166765.4,162580.08,716.0
Irrigated Palay,Region XIII (Caraga),1606700000,Surigao del Norte,44624.45,42193.28,47394.0,48087.0,45955.0,7164.0
Irrigated Palay,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,1606800000,Surigao del Sur,54740.69,57160.29,56530.0,68395.0,64014.0,12169.0
Irrigated Palay,Region XIII (Caraga),1608500000,Dinagat Islands,4208.35,4535.89,3921.71,4244.0,4652.02,743.7
Irrigated Palay,,1630400000,Butuan City,,,,,,10850.86
Irrigated Palay,MIMAROPA Region,1704000000,Marinduque,10627.0,11392.59,10549.0,9230.0,11507.08,4419.65
Irrigated Palay,MIMAROPA Region,1705100000,Occidental Mindoro,258025.0,252297.22,260157.88,235601.9,348828.29,52633.4
Irrigated Palay,MIMAROPA Region,1705200000,Oriental Mindoro,340002.74,322873.78,312077.22,298348.7,308366.66,62822.8
Irrigated Palay,MIMAROPA Region,1705300000,Palawan,251514.0,267223.13,285628.65,279653.5,280078.71,83972.18
Irrigated Palay,MIMAROPA Region,1705900000,Romblon,19786.0,20611.24,21065.61,18041.44,20557.0,8048.0
Irrigated Palay,,1731500000,Puerto Princesa City,,,,,,1520.9
Irrigated Palay,NEGROS ISLAND REGION (NIR) 2/,1804500000,Negros Occidental,342403.0,329754.0,340199.0,319542.0,317782.0,59526.0
Irrigated Palay,NEGROS ISLAND REGION (NIR) 2/,1804600000,Negros Oriental,52840.0,45402.0,51222.59,56123.0,77701.0,12395.0
Irrigated Palay,NEGROS ISLAND REGION (NIR) 2/,1806100000,Siquijor,2223.0,3030.69,2208.39,1246.24,1730.58,72.8
Irrigated Palay,,1830200000,Bacolod City,,,,,,291.0
Irrigated Palay,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,1900700000,Basilan,426.0,661.41,584.0,595.0,775.6,150.0
Irrigated Palay,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,1903600000,Lanao del Sur,63796.5,65290.3,65435.77,65607.91,65758.15,11202.87
Irrigated Palay,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,1907000000,Tawi-Tawi,0.0,0.0,0.0,0.0,0.0,0.0
Irrigated Palay,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,1908700000,Maguindanao del Norte,,,,78781.91,84251.0,30287.0
Irrigated Palay,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,1908800000,Maguindanao del Sur,137707.85,160519.88,186856.6,107573.1,115444.19,44723.0
