Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025
Hog,Region IV-A,Rizal,405800000,65359.42,7085.72,11287.80,17018.64,19055.61,23329.57
Hog,MIMAROPA,Marinduque,1704000000,8360.30,8030.17,4971.93,4250.43,6600.77,9929.11
Hog,MIMAROPA,Occidental Mindoro,1705100000,9533.79,9824.84,8025.71,8092.64,5027.94,2823.15
Hog,MIMAROPA,Oriental Mindoro,1705200000,11811.36,22044.66,26907.62,42271.13,15151.28,11365.66
Hog,MIMAROPA,Palawan,1705300000,44788.42,44816.78,45360.97,50506.85,53694.05,52997.74
Hog,MIMAROPA,Romblon,1705900000,5300.29,6994.13,6916.91,6455.63,6304.85,6554.26
Hog,Region V,Albay,500500000,27545.72,13922.06,14321.80,16559.44,17587.30,16250.42
Hog,Region V,Camarines Norte,501600000,20923.57,21326.13,21330.64,21130.90,17415.88,14108.69
Hog,Region V,Camarines Sur,501700000,35230.06,33347.37,32361.10,32728.55,32550.30,30803.32
Hog,Region V,Catanduanes,502000000,7001.26,1516.15,1073.08,1596.49,2001.57,1387.80
Hog,Region V,Masbate,504100000,15047.07,15322.46,16063.13,19097.42,14109.51,13928.52
Hog,Region V,Sorsogon,506200000,14133.13,13778.51,15351.98,15078.10,15714.07,16245.16
Hog,Region VI,Aklan,600400000,17675.75,17231.22,18636.63,14416.08,9716.09,8886.58
Hog,Region VI,Antique,600600000,15319.53,13448.16,13730.02,13714.55,14123.98,14625.49
Hog,Region VI,Capiz,601900000,20964.90,19687.01,20651.30,16134.90,5515.33,4920.35
Hog,Region VI,Guimaras,607900000,4157.41,4195.99,4359.09,5716.34,2778.60,3742.60
Hog,Region VI,Iloilo,603000000,78395.08,82923.50,86553.22,50306.49,23831.62,24937.78
Hog,NIR,Negros Occidental,1804500000,58785.20,62797.47,61109.27,58182.10,44581.63,0.00
Hog,NIR,Negros Occidental,1804500000,0.00,0.00,0.00,0.00,0.00,48071.46
Hog,NIR,Negros Oriental,1804600000,0.00,0.00,0.00,0.00,0.00,56619.31
Hog,NIR,Siquijor,1806100000,0.00,0.00,0.00,0.00,0.00,5002.35
Hog,Region VII,Bohol,701200000,46308.30,43813.46,43178.56,44656.43,46939.90,47218.83
Hog,Region VII,Cebu,702200000,99902.63,115505.62,126000.68,138886.58,113626.51,94288.21
Hog,NIR,Negros Oriental,1804600000,42467.96,44865.42,55595.81,54802.23,53612.38,0.00
Hog,NIR,Siquijor,1806100000,4192.24,4570.37,4366.62,4709.15,4023.84,0.00
Hog,Region VIII,Biliran,807800000,1699.15,1663.03,1117.31,1014.30,1321.96,1274.06
Hog,Region VIII,Eastern Samar,802600000,2784.26,2215.65,2483.21,3035.74,3463.10,3709.75
Hog,Region VIII,Leyte,803700000,56095.56,55876.58,33038.66,36892.47,39746.85,32894.35
Hog,Region VIII,Northern Samar,804800000,8633.67,6412.59,6593.91,5806.58,6231.51,5458.28
Hog,Region VIII,Samar,806000000,6576.64,5768.83,4060.85,3311.72,4502.27,4410.67
Hog,Region VIII,Southern Leyte,806400000,6165.28,6205.56,3776.09,3679.75,3534.20,4430.82
Hog,Region IX,Zamboanga del Norte,907200000,24758.54,26503.49,29697.91,28161.46,26154.81,27802.04
Hog,Region IX,Zamboanga del Sur,907300000,29310.70,38688.10,44489.64,42968.37,40102.48,38120.94
Hog,Region IX,Zamboanga Sibugay,908300000,17497.96,19955.31,22211.97,20588.37,18153.72,15601.86
Hog,Region IX,City of Zamboanga,,11383.27,0.00,0.00,0.00,0.00,2444.62
Hog,Region X,Bukidnon,1001300000,126037.60,137283.56,139078.00,138790.38,140051.61,144793.94
Hog,Region X,Camiguin,1001800000,4309.79,4153.92,3724.07,1797.82,1172.93,1387.55
Hog,Region X,Lanao del Norte,1003500000,16793.40,14365.09,15730.07,17387.09,17670.98,17315.04
Hog,Region X,Misamis Occidental,1004200000,24019.44,22896.15,23071.87,22411.34,21575.47,17277.02
Hog,Region X,Misamis Oriental,1004300000,38871.57,38767.32,38313.31,39593.24,37829.23,33213.17
Hog,Region XI,Davao de Oro,1108200000,18359.35,17065.70,16718.39,16852.67,16015.74,16363.51
Hog,Region XI,Davao del Norte,1102300000,29583.75,24577.99,26055.80,25617.84,26658.42,25302.32
Hog,Region XI,Davao del Sur,1102400000,40739.68,76755.76,78624.28,79624.48,75954.68,45037.33
Hog,Region XI,Davao Occidental,1108600000,2970.73,1830.39,1811.98,2336.66,3084.86,3762.43
Hog,Region XI,Davao Oriental,1102500000,17046.06,16068.12,15429.98,15374.80,15107.83,14879.89
Hog,Region XI,City of Davao,,41490.86,0.00,0.00,0.00,0.00,25745.51
Hog,Region XII,Cotabato,1204700000,27491.54,27002.01,24201.68,23047.50,24975.39,17945.92
Hog,Region XII,Sarangani,1208000000,9461.67,8924.03,8192.61,8106.19,8252.59,7310.79
Hog,Region XII,South Cotabato,1206300000,70475.20,73300.66,81956.49,60827.20,67403.71,70388.80
Hog,Region XII,Sultan Kudarat,1206500000,15380.39,15461.85,12807.30,6295.65,6214.55,5834.86
Hog,Region XIII,Agusan del Norte,1600200000,10610.02,8725.08,7057.31,6792.55,6495.43,6807.45
Hog,Region XIII,Agusan del Sur,1600300000,10930.86,8777.81,8349.18,4706.45,4132.74,5154.48
Hog,Region XIII,Dinagat Islands,1608500000,918.78,802.24,815.74,663.78,510.94,501.45
Hog,Region XIII,Surigao del Norte,1606700000,6842.66,4606.20,2804.92,4100.26,3581.84,2151.09
Hog,Region XIII,Surigao del Sur,1606800000,9189.42,8375.02,5651.44,5325.45,5450.59,5231.06
Hog,BARMM,Basilan,1900700000,7698.48,6857.87,7012.39,5407.20,4422.85,4099.31
Hog,BARMM,Lanao del Sur,1903600000,36.51,61.59,81.13,112.52,125.13,129.13
Hog,BARMM,Maguindanao,,2708.80,3975.09,4326.34,4369.34,4428.45,1404.80
Hog,BARMM,Maguindanao del Norte,1908700000,0.00,0.00,0.00,0.00,0.00,2098.56
Hog,BARMM,Maguindanao del Sur,1908800000,0.00,0.00,0.00,0.00,0.00,2097.10
Hog,BARMM,Sulu,906600000,7.69,9.90,4.62,0.00,0.00,0.00
Hog,BARMM,Tawi-Tawi,1907000000,75.55,111.56,86.93,70.66,87.65,61.77
