Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025
Cattle,Region VI,Iloilo,603000000,4928.87,5191.62,4761.53,4380.12,4892.99,3750.50
Cattle,NIR,Negros Occidental,1804500000,4636.84,4456.47,4303.81,4810.53,5027.09,0.00
Cattle,NIR,Negros Occidental,1804500000,0.00,0.00,0.00,0.00,0.00,4522.07
Cattle,NIR,Negros Oriental,1804600000,0.00,0.00,0.00,0.00,0.00,8902.10
Cattle,NIR,Siquijor,1806100000,0.00,0.00,0.00,0.00,0.00,561.73
Cattle,Region VII,Bohol,701200000,4138.35,3868.36,3781.69,4099.66,3755.06,3786.51
Cattle,Region VII,Cebu,702200000,7569.29,8251.92,9531.27,9327.23,8423.45,8508.20
Cattle,NIR,Negros Oriental,1804600000,4638.88,4412.12,6785.87,9130.24,9095.33,0.00
Cattle,NIR,Siquijor,1806100000,559.91,469.76,565.29,534.43,572.79,0.00
Cattle,Region VIII,Biliran,807800000,172.13,167.90,127.64,117.94,96.36,120.40
Cattle,Region VIII,Eastern Samar,802600000,183.72,226.28,232.83,167.72,131.70,141.06
Cattle,Region VIII,Leyte,803700000,1183.15,1767.91,1532.64,1576.46,1791.91,2139.98
Cattle,Region VIII,Northern Samar,804800000,263.18,293.51,129.73,143.01,125.14,110.64
Cattle,Region VIII,Samar,806000000,149.15,134.16,152.57,290.70,301.61,218.44
Cattle,Region VIII,Southern Leyte,806400000,165.32,209.65,325.62,309.19,322.35,396.17
Cattle,Region IX,Zamboanga del Norte,907200000,4162.54,4312.71,4177.99,4144.64,4412.59,4397.66
Cattle,Region IX,Zamboanga del Sur,907300000,3452.56,4047.71,4051.16,3872.75,4317.09,4761.04
Cattle,Region IX,Zamboanga Sibugay,908300000,1408.17,1389.74,1421.86,1378.55,1361.80,1323.72
Cattle,Region IX,City of Zamboanga,0907400000,838.17,0.00,0.00,0.00,0.00,327.69
Cattle,Region X,Bukidnon,1001300000,18336.51,19835.06,19971.84,19789.60,19977.85,19807.80
Cattle,Region X,Camiguin,1001800000,237.89,293.20,164.40,181.60,231.18,165.30
Cattle,Region X,Lanao del Norte,1003500000,5415.35,5484.77,6404.70,5932.50,6193.25,6251.45
Cattle,Region X,Misamis Occidental,1004200000,4002.21,4059.42,4307.22,4379.16,4461.69,4121.62
Cattle,Region X,Misamis Oriental,1004300000,6709.14,6771.02,6801.76,6717.25,7034.82,7442.89
Cattle,Region XI,Davao de Oro,1108200000,393.94,502.90,473.00,461.50,492.57,523.34
Cattle,Region XI,Davao del Norte,1102300000,2165.54,2302.52,2736.65,2712.82,2755.19,2998.73
Cattle,Region XI,Davao del Sur,1102400000,4486.65,7725.74,7926.75,8231.84,8311.32,4914.30
Cattle,Region XI,Davao Occidental,1108600000,377.78,697.21,601.37,662.07,702.30,732.78
Cattle,Region XI,Davao Oriental,1102500000,1017.47,756.83,790.01,783.16,785.33,812.52
Cattle,Region XI,City of Davao,1130700000,3445.18,0.00,0.00,0.00,0.00,1163.78
Cattle,Region XII,Cotabato,1204700000,5644.98,5833.24,5909.88,5997.28,6074.77,5434.12
Cattle,Region XII,Sarangani,1208000000,1077.61,672.22,576.95,641.09,580.37,610.83
Cattle,Region XII,South Cotabato,1206300000,5680.85,5893.40,5866.75,5478.52,5655.82,5853.42
Cattle,Region XII,Sultan Kudarat,1206500000,2670.32,2532.63,2438.93,2724.25,2459.87,2286.99
Cattle,Region XIII,Agusan del Norte,1600200000,615.23,506.50,513.64,431.02,334.88,295.37
Cattle,Region XIII,Agusan del Sur,1600300000,451.52,412.62,429.37,491.86,370.37,307.80
Cattle,Region XIII,Dinagat Islands,1608500000,9.63,6.60,9.58,5.99,6.26,6.68
Cattle,Region XIII,Surigao del Norte,1606700000,287.32,303.06,116.77,111.53,191.70,172.33
Cattle,Region XIII,Surigao del Sur,1606800000,124.70,92.93,99.42,102.55,165.31,229.21
Cattle,BARMM,Basilan,1900700000,2437.23,3252.19,4048.27,3547.73,3328.99,3337.00
Cattle,BARMM,Lanao del Sur,1903600000,2004.66,1722.05,2384.54,2557.00,3039.35,3222.93
Cattle,BARMM,Maguindanao,1908800000,2511.12,1954.96,1914.46,2054.44,2101.93,0
Cattle,BARMM,Maguindanao del Norte,1908700000,0.00,0.00,0.00,0.00,0.00,872.90
Cattle,BARMM,Maguindanao del Sur,1908800000,0.00,0.00,0.00,0.00,0.00,1623.96
Cattle,BARMM,Sulu,906600000,2080.00,2812.40,2937.00,2464.20,2650.90,2939.58
Cattle,BARMM,Tawi-Tawi,1907000000,430.08,405.44,240.52,253.96,280.00,316.96
