Commodity,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Ubi [Greater yam],REGION III (CENTRAL LUZON),Bataan,0300800000,9.00,9.00,9.00,18.00,18.00,18.00,0
Ubi [Greater yam],REGION III (CENTRAL LUZON),Bulacan,0301400000,18.97,19.25,20.15,36.65,35.67,0.86,0
Ubi [Greater yam],REGION III (CENTRAL LUZON),Nueva Ecija,0304900000,2.00,2.00,2.00,2.00,0.00,0.00,0
Ubi [Greater yam],REGION III (CENTRAL LUZON),Pampanga,0305400000,4.00,4.00,4.00,4.00,6.00,6.00,0
Ubi [Greater yam],REGION III (CENTRAL LUZON),Tarlac,0306900000,1.00,1.00,1.00,3.50,1.00,1.56,0
Ubi [Greater yam],REGION III (CENTRAL LUZON),Zambales,0307100000,17.00,17.01,17.00,10.56,6.39,5.73,0
Ubi [Greater yam],REGION IV-A (CALABARZON),Batangas,0401000000,22.50,23.50,23.50,36.88,49.12,47.60,0
Ubi [Greater yam],REGION IV-A (CALABARZON),Cavite,0402100000,51.00,47.00,45.00,43.00,45.10,40.06,0
Ubi [Greater yam],REGION IV-A (CALABARZON),Laguna,0403400000,21.12,21.52,22.52,13.00,96.51,101.20,0
Ubi [Greater yam],REGION IV-A (CALABARZON),Quezon,0405600000,106.00,116.00,115.50,115.50,115.55,116.36,0
Ubi [Greater yam],REGION IV-A (CALABARZON),Rizal,0405800000,0.00,0.00,0.00,20.28,26.00,28.45,0
Ubi [Greater yam],MIMAROPA REGION,Marinduque,1704000000,14.05,13.80,13.87,15.67,24.03,20.27,0
Ubi [Greater yam],MIMAROPA REGION,Occidental Mindoro,1705100000,25.45,25.46,27.39,28.94,37.21,32.11,0
Ubi [Greater yam],MIMAROPA REGION,Oriental Mindoro,1705200000,8.71,8.81,9.10,10.81,11.95,12.29,0
Ubi [Greater yam],MIMAROPA REGION,Palawan,1705300000,46.25,42.57,42.53,46.67,65.79,62.55,0
Ubi [Greater yam],MIMAROPA REGION,City of Puerto Princesa,,0,0,0,0,0,0,0
Ubi [Greater yam],MIMAROPA REGION,Romblon,1705900000,21.50,23.34,23.60,23.70,18.32,18.01,0
Ubi [Greater yam],REGION V (BICOL REGION),Albay,0500500000,48.00,33.00,31.00,30.03,25.03,15.43,0
Ubi [Greater yam],REGION V (BICOL REGION),Camarines Norte,0501600000,0.00,0.00,0.00,0.00,0.00,0.00,0
Ubi [Greater yam],REGION V (BICOL REGION),Camarines Sur,0501700000,2.90,2.90,2.90,2.50,2.69,3.72,0
Ubi [Greater yam],REGION V (BICOL REGION),Catanduanes,0502000000,1.96,1.96,1.92,1.92,3.23,0.27,0
Ubi [Greater yam],REGION V (BICOL REGION),Masbate,0504100000,21.00,21.00,21.00,21.00,23.90,13.94,0
Ubi [Greater yam],REGION V (BICOL REGION),Sorsogon,0506200000,3.11,2.81,2.35,2.35,3.33,1.77,0
Ubi [Greater yam],REGION VI (WESTERN VISAYAS),Aklan,0600400000,23.50,23.22,22.95,22.81,22.65,16.67,0
Ubi [Greater yam],REGION VI (WESTERN VISAYAS),Antique,0600600000,5.70,6.45,6.45,7.03,7.70,6.81,0
Ubi [Greater yam],REGION VI (WESTERN VISAYAS),Capiz,0601900000,9.50,8.75,8.25,7.75,6.94,6.85,0
Ubi [Greater yam],REGION VI (WESTERN VISAYAS),Guimaras,0607900000,6.50,7.50,7.85,7.76,6.76,7.00,0
Ubi [Greater yam],REGION VI (WESTERN VISAYAS),Iloilo,0603000000,16.50,16.50,16.50,16.39,19.37,19.31,0
Ubi [Greater yam],REGION VI (WESTERN VISAYAS),Negros Occidental,,20.00,20.00,20.00,20.00,0,0,0
Ubi [Greater yam],NEGROS ISLAND REGION (NIR) 2/,Negros Occidental a/,1804500000,0,0,0,0,20.00,23.00,0
Ubi [Greater yam],NEGROS ISLAND REGION (NIR) 2/,City of Bacolod,,0,0,0,0,0,0,0
Ubi [Greater yam],NEGROS ISLAND REGION (NIR) 2/,Negros Oriental b/,1804600000,0,0,0,0,43.30,38.00,0
Ubi [Greater yam],NEGROS ISLAND REGION (NIR) 2/,Siquijor b/,1806100000,0,0,0,0,0.38,0.35,0
Ubi [Greater yam],REGION VII (CENTRAL VISAYAS),Bohol,0701200000,861.74,824.74,779.74,625.00,376.00,297.03,0
Ubi [Greater yam],REGION VII (CENTRAL VISAYAS),Cebu,0702200000,31.00,29.50,29.50,29.50,29.50,29.53,0
Ubi [Greater yam],REGION VII (CENTRAL VISAYAS),Negros Oriental,,29.00,30.00,32.50,50.50,0,0,0
Ubi [Greater yam],REGION VII (CENTRAL VISAYAS),Siquijor,,1.10,1.15,1.07,0.59,0,0,0
Ubi [Greater yam],REGION VIII (EASTERN VISAYAS),Biliran,0807800000,20.00,20.50,20.03,18.89,18.27,13.93,0
Ubi [Greater yam],REGION VIII (EASTERN VISAYAS),Eastern Samar,0802600000,18.00,17.70,17.70,26.66,26.65,26.64,0
Ubi [Greater yam],REGION VIII (EASTERN VISAYAS),Leyte,0803700000,99.70,99.70,100.00,104.47,100.50,100.45,0
Ubi [Greater yam],REGION VIII (EASTERN VISAYAS),Northern Samar,0804800000,5.36,5.37,5.38,5.38,10.23,3.28,0
Ubi [Greater yam],REGION VIII (EASTERN VISAYAS),Samar,0806000000,34.50,35.30,37.10,105.04,97.82,73.43,0
Ubi [Greater yam],REGION VIII (EASTERN VISAYAS),Southern Leyte,0806400000,8.12,7.35,6.35,11.60,19.10,12.30,0
Ubi [Greater yam],REGION IX (ZAMBOANGA PENINSULA),Sulu c/,,0,0,0,0,0,0,0
Ubi [Greater yam],REGION IX (ZAMBOANGA PENINSULA),Zamboanga del Norte,0907200000,7.20,7.35,7.35,8.17,7.62,7.62,0
Ubi [Greater yam],REGION IX (ZAMBOANGA PENINSULA),Zamboanga del Sur,0907300000,24.50,24.50,24.50,31.16,36.15,36.00,0
Ubi [Greater yam],REGION IX (ZAMBOANGA PENINSULA),City of Zamboanga,0907400000,9.00,10.50,10.50,0.00,0.00,9.78,0
Ubi [Greater yam],REGION IX (ZAMBOANGA PENINSULA),Zamboanga Sibugay,0908300000,18.00,17.94,17.94,19.28,20.40,20.13,0
Ubi [Greater yam],REGION X (NORTHERN MINDANAO),Bukidnon,1001300000,4.27,4.27,4.40,4.52,4.36,4.29,0
Ubi [Greater yam],REGION X (NORTHERN MINDANAO),Camiguin,1001800000,2.32,2.48,3.33,4.53,3.70,4.74,0
Ubi [Greater yam],REGION X (NORTHERN MINDANAO),Lanao del Norte,1003500000,134.55,135.00,135.35,197.35,284.70,327.62,0
Ubi [Greater yam],REGION X (NORTHERN MINDANAO),Misamis Occidental,1004200000,13.50,14.00,14.50,21.50,15.00,15.00,0
Ubi [Greater yam],REGION X (NORTHERN MINDANAO),Misamis Oriental,1004300000,13.00,14.00,16.00,26.00,20.16,47.00,0
Ubi [Greater yam],REGION XI (DAVAO REGION),Davao de Oro,1108200000,7.75,7.50,7.50,11.00,9.80,8.79,0
Ubi [Greater yam],REGION XI (DAVAO REGION),Davao del Norte,1102300000,6.35,6.60,6.62,8.26,8.47,8.28,0
Ubi [Greater yam],REGION XI (DAVAO REGION),Davao del Sur,1102400000,21.00,21.00,21.00,30.10,30.10,28.92,0
Ubi [Greater yam],REGION XI (DAVAO REGION),City of Davao,,9.25,9.21,9.11,0.00,0.00,1.73,0
Ubi [Greater yam],REGION XI (DAVAO REGION),Davao Occidental,1108600000,1.00,1.00,1.00,0.90,0.89,0.89,0
Ubi [Greater yam],REGION XI (DAVAO REGION),Davao Oriental,1102500000,0.00,0.00,0.00,0.00,0.00,0.01,0
Ubi [Greater yam],REGION XII (SOCCSKSARGEN),Cotabato,1204700000,25.00,25.00,23.80,42.45,42.35,42.35,0
Ubi [Greater yam],REGION XII (SOCCSKSARGEN),Sarangani,1208000000,10.02,10.32,10.32,12.97,14.83,14.55,0
Ubi [Greater yam],REGION XII (SOCCSKSARGEN),Sultan Kudarat,1206500000,6.50,6.50,6.50,9.50,8.90,7.20,0
Ubi [Greater yam],REGION XII (SOCCSKSARGEN),South Cotabato,1206300000,13.24,13.79,14.29,15.96,17.64,3.19,0
Ubi [Greater yam],REGION XIII (CARAGA),Agusan del Norte,1600200000,1.50,1.53,1.53,1.53,1.56,1.80,0
Ubi [Greater yam],REGION XIII (CARAGA),City of Butuan,,0,0,0,0,0,0,0
Ubi [Greater yam],REGION XIII (CARAGA),Agusan del Sur,1600300000,1.94,1.92,1.92,2.01,2.31,63.99,0
Ubi [Greater yam],REGION XIII (CARAGA),Dinagat Islands,1608500000,0.43,0.71,0.38,0.11,7.08,0.65,0
Ubi [Greater yam],REGION XIII (CARAGA),Surigao del Norte,1606700000,1.45,1.40,1.40,0.85,0.86,0.85,0
Ubi [Greater yam],REGION XIII (CARAGA),Surigao del Sur,1606800000,5.50,5.45,5.65,0.16,0.27,0.08,0
Ubi [Greater yam],BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Basilan,1900700000,0.00,0.00,0.00,0.00,0.00,0.00,0
Ubi [Greater yam],BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Lanao del Sur,1903600000,28.05,28.01,27.90,35.35,24.48,24.14,0
Ubi [Greater yam],BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Maguindanao,,28.25,28.25,28.25,28.25,57.25,23.76,0
Ubi [Greater yam],BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Maguindanao del Norte,1908700000,0,0,0,0,0,11.76,0
Ubi [Greater yam],BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Maguindanao del Sur,1908800000,0,0,0,0,0,12.00,0
Ubi [Greater yam],BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Sulu,1906600000,0.00,0.00,0.00,0.00,0.00,0.00,0
Ubi [Greater yam],BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Tawi-tawi,1907000000,0.00,0.00,0.00,0.00,0.00,0.00,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Internal reference code:,,,,,,,,,,
2E4EAHM3,,,,,,,,,,
