,,,,,
Agricultural Commodity Reference Dictionary,,,,,
,,,,,
,,,,,
Common Name,Scientific Name,Local/Commom Name (PH),Primary Category,Sub-Category,Definition & Botanical Description
Cotton,Gossypium hirsutum,Bulak,Fiber Crops,Plant Fibers,"A soft, fluffy seed-case fiber that grows in a protective boll around the seeds of the cotton plant."
Silk,Bombyx mori,Seda,Fiber Crops,Animal Fibers,"A luxurious, continuous protein fiber filament produced by the silkworm cocoon during pupation."
Bariw,Pandanus copelandii,Bariw,Fiber Crops,Palms/Screwpines,"A resilient, wild screwpine species with long thorny leaves harvested and prepared for heavy-duty weaving."
Salago,Wikstroemia ovata,Salago,Fiber Crops,Plant Fibers,An indigenous shrub with incredibly tough bast bark fibers used for high-performance specialty papers.
Raffia,Raphia farinifera,Rafia,Fiber Crops,Palms,A versatile fiber obtained via stripping the membrane on the underside of the fronds of the Raffia palm.
Buri,Corypha utan,Buri,Fiber Crops,Palms,"A massive fan palm yielding multiple fiber types (Buri, Raffia, Agas) from its broad, durable fronds."
Coir,Cocos nucifera (Coir),Bunot / Coir,Fiber Crops,Plant Fibers,"The coarse, fibrous material extracted from the outer husk of the coconut fruit, highly resistant to rot."
Agave (Sisal),Agave sisalana,Agave (Sisal),Fiber Crops,Plant Fibers,"A succulent monocot yielding long, stiff, durable structural fibers from its sword-like leaves."
Agave (Maguey),Agave cantala,Maguey,Fiber Crops,Plant Fibers,"An Agave species widely naturalized locally, yielding fine, flexible fibers via saltwater retting."
Agave (Henequen),Agave fourcroydes,Henequen,Fiber Crops,Plant Fibers,"A robust Agave relative specialized for arid regions, producing thick, hard structural fibers."
Tobacco (Virginia),Nicotiana tabacum,Tabako (Virginia),Industrial & Stimulant Crops,Tobacco,A flue-cured tobacco variety characterized by high sugar content and bright golden leaves.
Tobacco (Burley),Nicotiana tabacum,Tabako (Burley),Industrial & Stimulant Crops,Tobacco,"An air-cured, low-sugar tobacco variety presenting chocolate flavors and high nicotine absorption capacity."
Tobacco (Native),Nicotiana tabacum,Tabako (Native),Industrial & Stimulant Crops,Tobacco,Sun-cured local heritage cultivars traditionally processed into strong local leaf formats.
Tobacco (Dark Air-Cured),Nicotiana tabacum,Tabako (Dark),Industrial & Stimulant Crops,Tobacco,"Heavy, robust tobacco variety cured slowly without direct heat, developing deep dark leaf profiles."
Onion (Yellow Granex/White Onion),Allium cepa,Sibuyas na Puti,Root Crops & Tubers,Bulbs,"A large, mild, sweet layered onion bulb variety with golden-white skin, favored for raw use."
Onion (Red Shallots),Allium cepa,Sibuyas Tagalog,Root Crops & Tubers,Bulbs,"Small clustered bulb species producing intense, sharp, refined savory profiles widely used in native sauces."
Onion (Red Onion),Allium cepa,Sibuyas na Pula,Root Crops & Tubers,Bulbs,"A cultivar of the common onion (Allium cepa) characterized by its crisp, mildly pungent, and slightly sweet flavor. It is instantly recognizable by its papery, deep purplish-red outer skin and white rings tinged with red."
Carrots,Daucus carota,Karot,Root Crops & Tubers,Roots,"A crisp, sweet root vegetable with bright orange flesh exceptional in beta-carotene and structural crunch."
Cabbage,Brassica oleracea var. capitata,Repolyo,Vegetables,Cruciferous,"A round, leafy head vegetable with tightly overlapping leaves, thriving in elevated highland zones."
Habichuelas,Phaseolus vulgaris,Baguio Beans,Vegetables,Legumes,"The tender, edible green pods of the common bush bean, crunchy and widely cultivated in cool highlands."
White Potato,Solanum tuberosum,Patatas,Root Crops & Tubers,Tubers,A major starchy tuber crop fundamental to global food security and extensively utilized as a recipe thickener.
Garlic,Allium sativum,Bawang,Herbs & Spices,Bulbs,"A strongly pungent bulb crop rich in allicin, serving as the definitive foundational aromatic for sautéing."
Coconut,Cocos nucifera,Niyog,Industrial & Stimulant Crops,Oil Crops,"The 'Tree of Life' fruit crop, harvested for its edible meat, hydrating water, and highly valuable commercial oil."
Pineapple,Ananas comosus,Pinya (Fruit),Fruits,Tropical Fruits,"A juicy, sweet tropical compound fruit renowned for its striking crown of leaves and high bromelain content."
Mango,Mangifera indica,Mangga,Fruits,Tropical Fruits,"The national fruit of the Philippines, internationally acclaimed for its exceptionally sweet, non-fibrous golden flesh."
Durian,Durio zibethinus,Durian,Fruits,Tropical Fruits,"A large, spike-covered fruit famous for its powerful aroma and rich, custard-like, highly decadent flesh."
Cacao,Theobroma cacao,Kakao,Industrial & Stimulant Crops,Beverage Crops,An understory tree crop yielding large pods containing beans processed into chocolate and cocoa solids.
Ube,Dioscorea alata,Ube,Root Crops & Tubers,Tubers,"A brilliant purple yam cultivar displaying deep violet flesh, highly sought after for global dessert applications."
Dragon Fruit,Selenicereus undatus,Dragon Fruit,Fruits,Tropical Fruits,"A climbing cactus fruit showing vibrant pink skin with scaled bracts and speckled, refreshing flesh."
Pomelo,Citrus maxima,Suha / Lukban,Fruits,Citrus,"The largest wild citrus fruit species, exhibiting thick pith and crisp, sweet, mildly pink vesicles."
Dalandan,Citrus aurantium,Dalandan,Fruits,Citrus,"A local sweet orange hybrid with a glossy dark green rind and tart, deeply refreshing orange pulp."
Avocado,Persea americana,Abocado,Fruits,Tropical Fruits,A unique pear-shaped fruit highly valued for its creamy texture and rich content of monounsaturated fats.
Asparagus,Asparagus officinalis,Asparagus,Vegetables,Stem Vegetables,"A perennial crop harvested for its tender, crisp green spears before the foliage expands."
Pili,Canarium ovatum,Pili,Fruits,Nuts,"An endemic tree nut boasting a remarkably rich, buttery kernel enclosed in a hard, smooth shell."
Rambutan,Nephelium lappaceum,Rambutan,Fruits,Tropical Fruits,"A bright red tropical fruit covered in soft, hair-like spines, revealing translucent, sweet arils."
Banana (Saba),Musa acuminata × Musa balbisiana,Saging na Saba,Fruits,Tropical Fruits,"A highly versatile, starchy cooking banana native to the Philippines. Shorter, thicker, and more angular than common dessert bananas (like the Cavendish), it features a thick peel and firm, white flesh."
Banana,Musa × paradisiaca,Saging,Fruits,Tropical Fruits,"An elongated, edible fruit produced by the world's largest herbaceous plant. It features a protective outer peel and soft, sweet, cream-colored flesh."
Onion,Allium cepa,Sibuyas,Herbs & Spices,Bulbs,"A widely cultivated vegetable (Allium cepa) with a sharp, pungent odor and taste. It consists of a round, underground bulb made of tightly layered fleshy leaves."
Tobacco ,Nicotiana tabacum,Tabako,Industrial & Stimulant Crops,,
Palay,Oryza Sativa,Palay,,,"The harvested grain of the rice plant (Oryza sativa) with its protective, inedible outer husk (hull) still intact. It is the raw agricultural commodity. Once milled to remove the husk, it becomes bigas (milled white or brown rice), and once cooked, it is called kanin (steamed rice)."
Irrigated Palay,,,,,"Palay crops grown in fields that require standing water for normal growth, where water is supplied via artificial irrigation systems."
Rainfed Palay,,,,,"Palay crops grown in fields that depend entirely on natural rainfall for their water supply, lacking any artificial irrigation setup"
Corn,Zea Mays,Mais,,,"A versatile cereal grass and grain that serves as a fundamental staple food for humans, a primary feed source for livestock, and a raw material for various industrial products (like starch, oil, and biofuel)"
Yellow Corn,,,,,"Corn varieties with yellow-pigmented kernels, rich in beta-carotene (which gives it its warm yellow-orange color). It is the primary ingredient used in formulated feed mixes for poultry, hogs, and aquaculture. It is also processed into corn oil and cornstarch."
White Corn,,,,,"Corn varieties with white or cream-colored kernels, typically consisting of traditional ""flint"" or glutinous cultivars (such as the heirloom Tinigib variety). It is cracked and milled into coarse grits (bugas mais) to serve as a direct rice substitute and main food staple for millions of people, particularly in the Visayas and Mindanao. It is also eaten boiled on the cob or used in native desserts (kakanin)."
