Commodity,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Ubi [Greater yam],MIMAROPA REGION,Marinduque,1704000000,49.65,50.48,50.29,57.94,54.82,51.25,1.42
Ubi [Greater yam],MIMAROPA REGION,Occidental Mindoro,1705100000,174.12,195.59,227.64,170.70,112.53,134.61,35.70
Ubi [Greater yam],MIMAROPA REGION,Oriental Mindoro,1705200000,9.79,7.83,6.67,6.69,6.49,6.13,0.60
Ubi [Greater yam],MIMAROPA REGION,Palawan,1705300000,224.02,241.05,260.33,183.81,179.51,125.17,38.13
Ubi [Greater yam],MIMAROPA REGION,City of Puerto Princesa,1731500000,0,0,0,0,0,0,0.00
Ubi [Greater yam],MIMAROPA REGION,Romblon,1705900000,162.35,179.08,190.05,185.93,162.37,168.06,58.44
Ubi [Greater yam],REGION V (BICOL REGION),Albay,0500500000,330.15,246.81,199.81,168.34,129.30,54.66,0.00
Ubi [Greater yam],REGION V (BICOL REGION),Camarines Norte,0501600000,0.00,0.00,0.00,5.64,0.00,0.00,0.00
Ubi [Greater yam],REGION V (BICOL REGION),Camarines Sur,0501700000,2.63,1.72,2.09,1.73,1.36,33.10,0.06
Ubi [Greater yam],REGION V (BICOL REGION),Catanduanes,0502000000,1.45,1.07,1.23,0.76,1.01,0.51,0.05
Ubi [Greater yam],REGION V (BICOL REGION),Masbate,0504100000,69.34,69.35,69.35,33.34,40.43,21.89,17.23
Ubi [Greater yam],REGION V (BICOL REGION),Sorsogon,0506200000,14.28,12.23,10.15,11.87,7.32,3.05,0.02
Ubi [Greater yam],REGION VI (WESTERN VISAYAS),Aklan,0600400000,141.16,149.19,142.88,144.55,142.92,129.65,38.25
Ubi [Greater yam],REGION VI (WESTERN VISAYAS),Antique,0600600000,81.53,83.73,82.54,82.71,88.38,81.14,163.16
Ubi [Greater yam],REGION VI (WESTERN VISAYAS),Capiz,0601900000,46.05,41.32,37.73,34.17,31.82,31.07,8.38
Ubi [Greater yam],REGION VI (WESTERN VISAYAS),Guimaras,0607900000,34.60,43.44,46.72,45.46,50.11,53.78,16.96
Ubi [Greater yam],REGION VI (WESTERN VISAYAS),Iloilo,0603000000,113.80,112.45,106.72,104.88,121.00,116.29,73.94
Ubi [Greater yam],REGION VI (WESTERN VISAYAS),Negros Occidental,1804500000,226.08,228.36,244.01,244.78,0,0,0
Ubi [Greater yam],NEGROS ISLAND REGION (NIR) 2/,Negros Occidental a/,1804500000,0,0,0,0,238.71,270.67,35.18
Ubi [Greater yam],NEGROS ISLAND REGION (NIR) 2/,City of Bacolod,1830200000,0,0,0,0,0,0,0.00
Ubi [Greater yam],NEGROS ISLAND REGION (NIR) 2/,Negros Oriental b/,1804600000,0,0,0,0,226.81,226.70,61.66
Ubi [Greater yam],NEGROS ISLAND REGION (NIR) 2/,Siquijor b/,1806100000,0,0,0,0,1.83,1.39,0.17
Ubi [Greater yam],REGION VII (CENTRAL VISAYAS),Bohol,0701200000,4880.82,4825.87,4022.73,3546.77,4763.28,3931.23,1826.84
Ubi [Greater yam],REGION VII (CENTRAL VISAYAS),Cebu,0702200000,210.90,209.00,199.50,200.38,196.05,185.01,67.86
Ubi [Greater yam],REGION VII (CENTRAL VISAYAS),Negros Oriental,1804600000,203.25,228.44,255.26,246.15,0,0,0
Ubi [Greater yam],REGION VII (CENTRAL VISAYAS),Siquijor,1806100000,5.75,6.10,5.49,2.67,0,0,0
Ubi [Greater yam],REGION VIII (EASTERN VISAYAS),Biliran,0807800000,82.50,89.50,85.74,78.52,75.95,35.88,12.53
Ubi [Greater yam],REGION VIII (EASTERN VISAYAS),Eastern Samar,0802600000,22.45,21.24,22.59,24.76,26.89,22.55,6.16
Ubi [Greater yam],REGION VIII (EASTERN VISAYAS),Leyte,0803700000,352.95,376.56,401.30,401.34,399.24,388.64,2.03
Ubi [Greater yam],REGION VIII (EASTERN VISAYAS),Northern Samar,0804800000,22.42,22.37,22.73,23.75,14.61,12.10,0.00
Ubi [Greater yam],REGION VIII (EASTERN VISAYAS),Samar,0806000000,93.78,84.14,95.66,81.05,73.90,51.48,27.00
Ubi [Greater yam],REGION VIII (EASTERN VISAYAS),Southern Leyte,0806400000,11.52,10.72,9.30,11.40,12.36,10.31,3.39
Ubi [Greater yam],REGION IX (ZAMBOANGA PENINSULA),Sulu c/,,0,0,0,0,0,0,0.00
Ubi [Greater yam],REGION IX (ZAMBOANGA PENINSULA),Zamboanga del Norte,0907200000,23.75,22.17,22.62,22.86,15.58,15.19,3.48
Ubi [Greater yam],REGION IX (ZAMBOANGA PENINSULA),Zamboanga del Sur,0907300000,135.94,138.03,137.56,147.39,198.76,91.08,15.20
Ubi [Greater yam],REGION IX (ZAMBOANGA PENINSULA),City of Zamboanga,0907400000,81.40,91.83,95.13,0,0,67.56,17.24
Ubi [Greater yam],REGION IX (ZAMBOANGA PENINSULA),Zamboanga Sibugay,0908300000,51.60,46.43,42.76,43.07,42.11,39.83,3.94
Ubi [Greater yam],REGION X (NORTHERN MINDANAO),Bukidnon,1001300000,29.91,29.19,29.75,30.40,27.00,29.14,3.82
Ubi [Greater yam],REGION X (NORTHERN MINDANAO),Camiguin,1001800000,36.97,41.72,64.80,53.10,48.68,59.51,11.69
Ubi [Greater yam],REGION X (NORTHERN MINDANAO),Lanao del Norte,1003500000,751.10,735.85,738.00,747.10,748.00,727.36,215.49
Ubi [Greater yam],REGION X (NORTHERN MINDANAO),Misamis Occidental,1004200000,143.40,146.90,145.69,144.31,140.17,139.80,50.24
Ubi [Greater yam],REGION X (NORTHERN MINDANAO),Misamis Oriental,1004300000,109.24,109.70,138.11,156.28,118.02,136.25,17.57
Ubi [Greater yam],REGION XI (DAVAO REGION),Davao de Oro,1108200000,51.25,52.52,47.54,45.78,40.48,39.43,4.51
Ubi [Greater yam],REGION XI (DAVAO REGION),Davao del Norte,1102300000,42.41,44.34,45.51,44.89,44.83,43.67,5.48
Ubi [Greater yam],REGION XI (DAVAO REGION),Davao del Sur,1102400000,163.01,160.85,157.01,188.62,186.78,173.70,38.23
Ubi [Greater yam],REGION XI (DAVAO REGION),City of Davao,1130700000,54.20,55.13,54.74,0,0,7.74,3.92
Ubi [Greater yam],REGION XI (DAVAO REGION),Davao Occidental,1108600000,2.87,2.78,2.84,2.63,2.56,2.49,0.93
Ubi [Greater yam],REGION XI (DAVAO REGION),Davao Oriental,1102500000,0.00,0.00,0.00,0.00,0.00,0.36,0.00
Ubi [Greater yam],REGION XII (SOCCSKSARGEN),Cotabato,1204700000,105.84,84.58,64.10,54.24,32.43,21.82,1.24
Ubi [Greater yam],REGION XII (SOCCSKSARGEN),Sarangani,1208000000,21.72,22.33,22.55,20.53,21.91,21.48,3.14
Ubi [Greater yam],REGION XII (SOCCSKSARGEN),Sultan Kudarat,1206500000,31.17,31.70,31.21,32.11,31.22,33.28,8.45
Ubi [Greater yam],REGION XII (SOCCSKSARGEN),South Cotabato,1206300000,69.41,75.40,80.80,97.07,83.53,87.73,0.00
Ubi [Greater yam],REGION XIII (CARAGA),City of Butuan,1630400000,0,0,0,0,0,0,0.39
Ubi [Greater yam],REGION XIII (CARAGA),Agusan del Sur,,3.13,3.01,3.02,2.56,2.00,1.68,0.43
Ubi [Greater yam],REGION XIII (CARAGA),Dinagat Islands,1608500000,2.56,4.35,1.98,0.52,2.10,1.19,0.26
Ubi [Greater yam],REGION XIII (CARAGA),Surigao del Norte,1606700000,1.68,1.23,0.39,0.07,0.24,1.97,0.00
Ubi [Greater yam],REGION XIII (CARAGA),Surigao del Sur,1606800000,19.17,25.40,27.86,4.50,4.00,0.46,0.47
Ubi [Greater yam],BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Basilan,1900700000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ubi [Greater yam],BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Lanao del Sur,1903600000,172.21,171.62,171.24,344.34,444.24,435.27,46.87
Ubi [Greater yam],BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Maguindanao,,174.65,176.30,177.75,178.78,15.80,36.59,11.00
Ubi [Greater yam],BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Maguindanao del Norte,,0,0,0,0,0,19.37,6.00
Ubi [Greater yam],BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Maguindanao del Sur,1908800000,0,0,0,0,0,17.22,5.00
Ubi [Greater yam],BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Sulu,1906600000,0.00,0.00,0.00,0.00,0.00,0.00,0
Ubi [Greater yam],BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Tawi-tawi,1907000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
